state,abbrev,status
Alabama,AL,Complete
Alaska,AK,In-Progress
Arizona,AZ,Complete
Arkansas,AR,Complete
California,CA,In-Progress
Colorado,CO,Complete
Connecticut,CT,In-Progress
Delaware,DE,Complete
District of Columbia,DC,Complete
Florida,FL,Complete
Georgia,GA,Complete
Hawaii,HI,In-Progress
Idaho,ID,Complete
Illinois,IL,Complete
Indiana,IN,Complete
Iowa,IA,Complete
Kansas,KS,Complete
Kentucky,KY,Complete
Louisiana,LA,Complete
Maine,ME,In-Progress
Montana,MT,Complete
Nebraska,NE,Complete
Nevada,NV,Complete
New Hampshire,NH,In-Progress
New Jersey,NJ,Complete
New Mexico,NM,Complete
New York,NY,In-Progress
North Carolina,NC,In-Progress
North Dakota,ND,Complete
Ohio,OH,In-Progress
Oklahoma,OK,Complete
Oregon,OR,Complete
Maryland,MD,Complete
Massachusetts,MA,In-Progress
Michigan,MI,In-Progress
Minnesota,MN,In-Progress
Mississippi,MS,Complete
Missouri,MO,Complete
Pennsylvania,PA,Complete
Rhode Island,RI,In-Progress
South Carolina,SC,Complete
South Dakota,SD,Complete
Tennessee,TN,Complete
Texas,TX,In-Progress
Utah,UT,Complete
Vermont,VT,In-Progress
Virginia,VA,In-Progress
Washington,WA,Complete
West Virginia,WV,Complete
Wisconsin,WI,In-Progress
Wyoming,WY,Complete
